#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
           4748.7071            1.021971                       |         6.31313856e+14      7.68720803e-15                    
           4752.7547           0.9898309                       |         6.30776209e+14      7.45814981e-15                    
           4756.8023            1.001059                       |         6.30239476e+14      7.55560376e-15                    
           4760.8498            0.990033                       |         6.29703670e+14      7.48510551e-15                    
           4764.8974           0.9768209                       |         6.29168760e+14      7.39777888e-15                    
            4768.945           0.9953066                       |         6.28634759e+14      7.55058858e-15                    
           4772.9926           0.9753065                       |         6.28101663e+14      7.41142872e-15                    
           4777.0401            1.022133                       |         6.27569484e+14      7.78044576e-15                    
           4781.0877           0.9965727                       |         6.27038193e+14      7.59874205e-15                    
           4785.1353           0.9804691                       |         6.26507800e+14      7.48861754e-15                    
           4789.1829           0.9959297                       |         6.25978304e+14      7.61957636e-15                    
           4793.2304             1.00531                       |         6.25449715e+14      7.70434830e-15                    
            4797.278            1.038541                       |         6.24922006e+14      7.97246672e-15                    
           4801.3256            1.027173                       |         6.24395186e+14      7.89851064e-15                    
           4805.3732            1.020831                       |         6.23869253e+14      7.86298396e-15                    
           4809.4207            1.012548                       |         6.23344219e+14      7.81232770e-15                    
           4813.4683            1.021638                       |         6.22820055e+14      7.89573504e-15                    
           4817.5159            1.017297                       |         6.22296771e+14      7.87541363e-15                    
           4821.5635            1.024379                       |         6.21774366e+14      7.94357031e-15                    
            4825.611            1.014983                       |         6.21252851e+14      7.88392862e-15                    
           4829.6586           0.9746752                       |         6.20732196e+14      7.58354165e-15                    
           4833.7062           0.9654433                       |         6.20212414e+14      7.52430806e-15                    
           4837.7538           0.9649075                       |         6.19693501e+14      7.53273177e-15                    
           4841.8013           0.9636086                       |         6.19175469e+14      7.53518446e-15                    
           4845.8489           0.9772217                       |         6.18658289e+14      7.65441728e-15                    
           4849.8965            1.010005                       |         6.18141973e+14      7.92442502e-15                    
           4853.9441            1.075724                       |         6.17626517e+14      8.45414505e-15                    
           4857.9916            1.118195                       |         6.17111934e+14      8.80258770e-15                    
           4862.0392            1.114951                       |         6.16598194e+14      8.79168236e-15                    
           4866.0868            1.096084                       |         6.16085309e+14      8.65730737e-15                    
           4870.1344            1.031043                       |         6.15573277e+14      8.15714095e-15                    
           4874.1819           0.9698929                       |         6.15062107e+14      7.68610903e-15                    
           4878.2295           0.9364772                       |         6.14551773e+14      7.43363033e-15                    
           4882.2771           0.9285492                       |         6.14042286e+14      7.38293535e-15                    
           4886.3247           0.9445992                       |         6.13533642e+14      7.52300784e-15                    
           4890.3722           0.9558486                       |         6.13025853e+14      7.62521743e-15                    
           4894.4198           0.9953711                       |         6.12518891e+14      7.95365513e-15                    
           4898.4674            1.005934                       |         6.12012768e+14      8.05135966e-15                    
            4902.515           0.9840186                       |         6.11507479e+14      7.88897292e-15                    
           4906.5625           0.9982195                       |         6.11003037e+14      8.01604258e-15                    
           4910.6101           0.9827943                       |         6.10499414e+14      7.90519942e-15                    
           4914.6577           0.9811356                       |         6.09996621e+14      7.90487269e-15                    
           4918.7052            0.961307                       |         6.09494667e+14      7.75787877e-15                    
           4922.7528           0.9634806                       |         6.08993527e+14      7.78822206e-15                    
           4926.8004           0.9666695                       |         6.08493210e+14      7.82685427e-15                    
            4930.848            1.005923                       |         6.07993714e+14      8.15806693e-15                    
           4934.8955            1.036555                       |         6.07495050e+14      8.42030005e-15                    
           4938.9431             1.01812                       |         6.06997191e+14      8.28411864e-15                    
